P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12.1,P12.2,P12.3,P12.4,P12.5,P12.6,P12.7,P12.8,P12.9,P13,P14,P15,P16,P17.1,P17.2,P17.3,P17.4,P17.5,P17.6,P18,P19,P20.1,P20.2,P20.3,P20.4,P20.5,P20.6,P20.7,P21.1,P21.2,P21.3,P22.1,P22.2,P22.3,P23,P24.1,P24.2,P24.3,P24.4,P24.5,P24.6,P12.I,P17.I,P20.I,P22.I,P24.I
Mujer,Extranjera,Entre 55 y 64 años,Bachillerato,Torrellano,Trabajador autónomo,Servicio doméstico,Menos de 10 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,NS-NC,Ninguna,Moderada o mucha,Ninguna,Moderada o mucha,Poca,Poca,Poca,Poca,Igual,Ha disminuido,Sí,Trabajador y empresario,Sí,Sí,Sí,Sí,Sí,Sí,Nunca trabajaria en negro,Sí,No,No,Sí,Sí,Sí,No,No,6,4,7,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,8,6,3,3,5
Hombre,Española,De 65 en adelante,Educación Primaria,Carrús,Jubilado/Pensionista,Calzado,Entre 21 y 30 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,NS-NC,NS-NC,Ninguna,NS-NC,Más,Ni ha disminuido ni ha aumentado,Sí,Empresario,No,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,No,No,No,Sí,Sí,Sí,No,Sí,8,7,8,En desacuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,9,5,4,2,5
Hombre,Española,Entre 25 y 34 años,Formación Profesional,Campo Elche,Otro,Otro,Menos de 10 años cotizados,Poco responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Moderada o mucha,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Otro,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,6,9,De acuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,Sí,No,14,4,7,3,5
Mujer,Española,Entre 35 y 44 años,Sin estudios,Carrús,Trabajador autónomo,Resto sector servicios,Menos de 10 años cotizados,Poco responsables,Poco responsables,Frecuentes: 2 personas de cada 4,Poca,Poca,Poca,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Igual,Ha aumentado,Sí,Otro,Sí,Sí,Sí,Sí,Sí,No,Nada,No,No,No,No,Sí,Sí,Sí,No,9,6,9,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,14,5,3,3,5
Mujer,Extranjera,Entre 35 y 44 años,Título Universitario,El Pla,Trabajador por cuenta ajena,Sanidad,Menos de 10 años cotizados,En general responsables,Poco responsables,Poco frecuentes: 1 persona de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,No,Nada,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,8,7,9,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,17,5,7,3,5
Mujer,Española,De 65 en adelante,Educación Primaria,Altabix,Jubilado/Pensionista,Servicio doméstico,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,NS-NC,Ninguna,NS-NC,Moderada o mucha,Moderada o mucha,NS-NC,NS-NC,NS-NC,Igual,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,No,No,Sí,Nada,Sí,No,No,Sí,No,Sí,No,Sí,5,4,7,En desacuerdo,De acuerdo,De acuerdo,Quizás,No,No,Sí,Sí,No,No,6,4,3,2,2
Hombre,Extranjera,Entre 25 y 34 años,Educación Primaria,Carrús,Trabajador por cuenta ajena,Calzado,Menos de 10 años cotizados,En general responsables,En general responsables,Muy frecuentes: 3 o 4 personas de cada 4,Poca,Moderada o mucha,Poca,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Moderada o mucha,Más,Ha aumentado,Sí,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,5,9,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,16,6,7,3,5
Hombre,Extranjera,Entre 35 y 44 años,Educación secundaria,El Pla,En paro,Otro,Menos de 10 años cotizados,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,Moderada o mucha,Moderada o mucha,NS-NC,Poca,Moderada o mucha,Moderada o mucha,Poca,Moderada o mucha,Más,Ni ha disminuido ni ha aumentado,NS-NC,Empresario,Sí,Sí,Sí,Sí,Sí,Sí,Lo que diga la ley,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,7,7,9,De acuerdo,De acuerdo,De acuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,14,6,7,3,5
Mujer,Española,De 65 en adelante,Educación Primaria,Altabix,Jubilado/Pensionista,Servicio doméstico,Nunca he cotizado,En general responsables,En general responsables,Frecuentes: 2 personas de cada 4,Moderada o mucha,NS-NC,NS-NC,Poca,NS-NC,Moderada o mucha,Moderada o mucha,Poca,NS-NC,Igual,Ha disminuido,NS-NC,Empresario,No,No,No,No,Sí,No,Ns/Nc,Sí,Sí,No,No,No,Sí,No,Sí,0,2,2,De acuerdo,De acuerdo,De acuerdo,Quizás,Sí,Sí,Sí,Sí,Sí,No,8,1,3,3,5
Mujer,Española,Entre 25 y 34 años,Sin estudios,El Pla,Ama/o de casa,Resto sector servicios,Nunca he cotizado,Poco responsables,En general responsables,Poco frecuentes: 1 persona de cada 4,NS-NC,Poca,Poca,NS-NC,NS-NC,NS-NC,Poca,Poca,NS-NC,Menos,Ha aumentado,NS-NC,NS-NC,No,Sí,Sí,No,No,No,Otro,Sí,No,No,No,No,Sí,No,Sí,6,8,5,De acuerdo,En desacuerdo,En desacuerdo,Sí,Sí,Sí,Sí,Sí,Sí,No,4,2,2,1,5
